[2025-12-11 14:25:22,979][agent:main:main_async] [INFO] Storage path: /data
[2025-12-11 14:25:23,108][agent:main:run_pipeline] [INFO] Starting pipeline execution for experiment: drifting_study_login
[2025-12-11 14:25:23,110][agent:toolbox:clear_pipeline_log] [INFO] Pipeline execution log cleared
[2025-12-11 14:25:23,113][agent:runner:execute_pipeline] [INFO] --- Starting Pipeline Execution for Experiment: drifting_study_login ---
[2025-12-11 14:25:23,115][agent:context:_try_parse_puppet_identity] [DEBUG] Successfully parsed puppet identity from variables
[2025-12-11 14:25:23,118][agent:runner:get_pipeline_action_step_results] [INFO] Executing initial actions on platform 'tiktok'
[2025-12-11 14:25:23,120][agent:runner:execute_initial_actions] [INFO] No initial actions found (ONCE schedule, no dependencies).
[2025-12-11 14:25:23,122][agent:runner:get_pipeline_action_step_results] [INFO] Completed initial actions: None
[2025-12-11 14:25:23,124][agent:runner:resolve_dependencies_until_complete] [INFO] Entering dependency resolution loop for 1 pending actions.
[2025-12-11 14:25:23,127][agent:runner:resolve_dependencies_until_complete] [DEBUG] Starting dependency resolution round. Pending: ['login_phase']
[2025-12-11 14:25:23,129][agent:runner:execute_pending_actions_round] [INFO] Dependencies met for action login_phase, executing.
[2025-12-11 14:25:23,131][agent:runner:execute_action] [INFO] Executing action: login_phase - Login to TikTok social platform.
[2025-12-11 14:25:23,133][agent:runner:execute_step] [DEBUG] Processing step open_browser on platform tiktok
[2025-12-11 14:25:23,136][agent:runner:execute_step_with_tool] [DEBUG] Resolved arguments for step open_browser: {}
[2025-12-11 14:25:23,139][agent:runner:execute_tool] [INFO] Executing async tool open_browser
[2025-12-11 14:25:23,142][agent:session:open_browser] [INFO] Initializing browser session
[2025-12-11 14:25:23,145][agent:session:_ensure_protocol_handler_allowance] [INFO] Injecting/checking TikTok protocol into browser storage preferences.
[2025-12-11 14:25:23,148][agent:session:_ensure_protocol_handler_allowance] [INFO] Chrome preferences file path: /data/browser_storage/Default/Preferences
[2025-12-11 14:25:23,152][agent:session:_ensure_protocol_handler_allowance] [DEBUG] TikTok protocol handler already allowed; no update needed
[2025-12-11 14:25:23,155][agent:session:open_browser] [INFO] Browser options: ['--disable-dev-shm-usage', '--disable-accelerated-2d-canvas', '--disable-gpu', '--disable-backgrounding-occluded-windows', '--disable-features=TranslateUI,BlinkGenPropertyTrees', '--disable-ipc-flooding-protection', '--allow-running-insecure-content', '--enable-logging', '--v=1', '--enable-features=protocolMonitor', '--disable-notifications', '--disable-popup-blocking', '--disable-extensions', '--disable-component-extensions-with-background-pages', '--disable-default-apps', '--disable-hang-monitor', '--disable-prompt-on-repost', '--disable-client-side-phishing-detection', '--disable-sync', '--metrics-recording-only', '--no-first-run', '--password-store=basic', '--no-sandbox', '--lang=en-US', '--timezone=Europe/Paris', '--remote-debugging-port=54321', '--window-position=0,0', '--window-size=1920,1080']
[2025-12-11 14:25:24,517][agent:session:open_browser] [INFO] Browser download directory set to /data/1765463119.611672/downloads
[2025-12-11 14:25:24,528][agent:session:open_browser] [INFO] Browser session initialized successfully
